604f8591bf2f020007e5d23d;Next multiple of 5;Kees de Vreugd;;Algorithms,Performance;KataComplexity.KYU_6;2021-03-16;492;23;990;114;JavaScript_43,Python_76,Haskell_8;8;92;36;7;0;15;KataComplexity.KYU_6;KataComplexity.KYU_6;KataComplexity.KYU_8
5672682212c8ecf83e000050;Twice linear;g964;;Algorithms,Numbers,Mathematics;KataComplexity.KYU_4;2015-12-17;50822;13042;155047;11456;Ruby_426,Python_3674,JavaScript_2744,CoffeeScript_12,Java_1687,C#_794,Haskell_222,Clojure_61,C++_909,PHP_218,TypeScript_76,Crystal_4,F#_32,C_206,Rust_272,Swift_103,Go_214,R_50,Shell_9,OCaml_15,Objective-C_8,Kotlin_88,Julia_25,Fortran_7,NASM_6,Elixir_17,Scala_65,PowerShell_7,Nim_3,Reason_2,Racket_12,Prolog_7,Haxe_3,Dart_8,CommonLisp_5,Pascal_4,Factor_3,Raku_3,Perl_3;2744;89;1465;277;69;None;None;None;None
57a0e5c372292dd76d000d7e;String repeat;wichu;;Fundamentals;KataComplexity.KYU_8;2016-08-02;104630;4259;208209;83068;Haskell_1071,Python_24010,F#_246,JavaScript_30207,C#_5142,PHP_3341,Clojure_465,C_1143,Ruby_3470,TypeScript_696,Crystal_58,Swift_1844,Java_9407,CoffeeScript_44,Rust_884,Go_2246,Shell_598,Lua_373,Elixir_402,Solidity_60,Scala_472,NASM_15,Nim_30,Julia_52,Kotlin_541,Dart_225,Racket_31,Reason_16,Factor_6;246;86;7022;1774;349;23;KataComplexity.KYU_7;KataComplexity.KYU_7;KataComplexity.KYU_8
5544c7a5cb454edb3c000047;Bouncing Balls;g964;;Fundamentals;KataComplexity.KYU_6;2015-05-02;102919;24594;236360;40149;Ruby_1339,Python_11394,Clojure_251,Java_5446,C#_2835,JavaScript_8062,Haskell_411,CoffeeScript_15,TypeScript_756,C++_3662,Elixir_230,PHP_1446,Crystal_26,F#_85,C_1981,Rust_657,Swift_599,Go_971,R_123,Shell_47,OCaml_33,Kotlin_467,Fortran_17,Julia_51,Scala_203,PowerShell_40,Nim_12,Racket_19,Reason_4,Prolog_11,Pascal_6,Factor_4,Raku_3;251;81;3443;1302;286;None;None;None;None
55466989aeecab5aac00003e;Rectangle into Squares;g964;;Puzzles,Fundamentals,Geometry,Algebra,Mathematics,Algorithms;KataComplexity.KYU_6;2015-05-03;59106;14497;100378;19252;Python_5147,Ruby_566,Java_2632,C#_1406,Clojure_175,JavaScript_3645,Haskell_374,CoffeeScript_21,C++_1905,Elixir_214,TypeScript_390,PHP_907,Crystal_11,F#_65,C_468,Rust_456,Swift_333,R_81,Shell_55,OCaml_23,Fortran_9,Julia_37,Scala_115,PowerShell_26,Go_390,Nim_4,Kotlin_235,Racket_22,Reason_4,Pascal_2,Factor_4,Raku_2;2632;89;2209;482;53;None;None;None;None
5547cc7dcad755e480000004;Is my friend cheating?;g964;;Puzzles,Fundamentals,Numbers,Mathematics,Algorithms;KataComplexity.KYU_5;2015-05-05;43441;13321;91712;9791;Python_3040,Ruby_353,C#_735,Java_1314,Clojure_56,JavaScript_2200,Haskell_207,CoffeeScript_19,TypeScript_134,C++_756,Elixir_63,PHP_310,Crystal_6,F#_40,C_138,Rust_185,Swift_116,Go_198,R_34,Shell_15,OCaml_5,Fortran_3,Julia_19,Scala_79,PowerShell_10,Nim_2,Racket_13,Reason_1,Kotlin_49,Prolog_5,Pascal_2,Factor_2,Raku_1;735;88;1186;218;64;None;None;None;None
5bb3e299484fcd5dbb002912;Billiards pyramid;petrosernivka;https://github.com/petrosernivka;Fundamentals,Mathematics,Algorithms,Numbers,Loops,Control Flow,Basic Language Features;KataComplexity.KYU_7;2018-10-02;2030;87;3022;1019;JavaScript_439,Python_541,Swift_43,C_18,CoffeeScript_4,Crystal_4,Ruby_21,Rust_6;43;84;145;48;9;92;KataComplexity.KYU_7;KataComplexity.KYU_1;KataComplexity.KYU_8
5b853229cfde412a470000d0;Twice as old;petrosernivka;https://github.com/petrosernivka;Fundamentals,Mathematics,Algorithms,Numbers;KataComplexity.KYU_8;2018-08-28;17229;391;28337;11309;Python_3365,Ruby_452,PHP_431,Java_1575,JavaScript_3702,Shell_215,C++_876,NASM_28,Haskell_126,Scala_202,C#_534,Kotlin_264,Go_18,Haxe_2,OCaml_8;431;89;1382;261;60;6;KataComplexity.KYU_7;KataComplexity.KYU_7;KataComplexity.KYU_8
5899642f6e1b25935d000161;Merge two sorted arrays into one;Y.y;https://github.com/DylanY1991;Fundamentals,Arrays,Integers,Numbers;KataComplexity.KYU_8;None;None;None;None;None;;None;None;None;None;None;None;None;None;None
57e8fba2f11c647abc000944;Holiday III - Fire on the boat;PG1;;Fundamentals,Arrays,Strings;KataComplexity.KYU_7;2016-09-26;2892;29;3584;2274;JavaScript_1038,C#_263,Python_864,Kotlin_127,Rust_23,Haskell_8;864;85;268;60;22;8;KataComplexity.KYU_7;KataComplexity.KYU_6;KataComplexity.KYU_8
